         StartTime           LastTime        Dur   TotBytes  TotPkts     SrcBytes     DstBytes         Rate 
   15:00:21.049441    15:00:21.049441   0.000000         74        1           74            0     0.000000
   15:00:21.131596    15:00:25.923593   4.791997       5500       55         3231         2269    11.268788
   15:00:21.135863    15:00:21.158287   0.022424        214        2           91          123    44.595078
   15:00:21.150853    15:00:21.150853   0.000000         74        1           74            0     0.000000
   15:00:21.150852    15:00:21.158378   0.007526        214        2           91          123   132.872711
   15:00:21.167633    15:00:26.103234   4.935601       6740       41         4178         2562     8.104383
   15:00:21.167856    15:00:21.177319   0.009463        199        2           80          119   105.674728
   15:00:21.176742    15:00:24.175070   2.998328        222        3          222            0     0.667038
   15:00:21.176762    15:00:24.204037   3.027275        222        3          222            0     0.660660
   15:00:21.182061    15:00:21.182399   0.000338        208        2           78          130  2958.579834
   15:00:21.188560    15:00:24.369218   3.180658       7644        6         7644            0     1.572002
   15:00:21.212261    15:00:26.125112   4.912851      11139       40         6464         4675     7.938365
   15:00:21.222711    15:00:22.797344   1.574633       1909       14         1032          877     8.255892
   15:00:21.253979    15:00:21.333074   0.079095        288        4          132          156    37.929073
   15:00:21.290541    15:00:21.467491   0.176950        122        2           56           66     5.651314
   15:00:21.310700    15:00:21.343059   0.032359        198        2           78          120    30.903303
   15:00:21.338533    15:00:22.538962   1.200429       7509       21         2741         4768    16.660711
   15:00:21.359112    15:00:21.469965   0.110853        369        5          132          237    36.083820
   15:00:21.376076    15:00:21.998559   0.622483      17230       42         2785        14445    65.865250
   15:00:21.376153    15:00:21.999503   0.623350      17003       40         2643        14360    62.565170
   15:00:21.392059    15:00:21.392059   0.000000         74        1           74            0     0.000000
   15:00:21.427722    15:00:21.427722   0.000000         74        1           74            0     0.000000
   15:00:21.514702    15:00:21.589591   0.074889        288        4          132          156    40.059288
   15:00:21.580508    15:00:21.580931   0.000423        188        2           86          102  2364.066162
   15:00:21.639301    15:00:22.152578   0.513277      48496       71         3616        44880   136.378601
   15:00:21.710976    15:00:21.716205   0.005229        279        2           89          190   191.241150
   15:00:21.783015    15:00:21.793175   0.010160        393        2           74          319    98.425194
   15:00:21.783182    15:00:21.828075   0.044893        258        2           79          179    22.275188
   15:00:21.802157    15:00:21.961412   0.159255        478        7          272          206    37.675426
   15:00:21.849687    15:00:24.854662   3.004975        222        3          222            0     0.665563
   15:00:21.918114    15:00:21.918395   0.000281        395        2           75          320  3558.718994
   15:00:21.943079    15:00:24.940549   2.997470        222        3          222            0     0.667229
   15:00:21.943235    15:00:24.927939   2.984704        222        3          222            0     0.670083
   15:00:21.943325    15:00:22.001736   0.058411        204        3          130           74    34.240128
   15:00:22.001527    15:00:23.946261   1.944734     914112     1012        28957       885155   519.865417
   15:00:22.128082    15:00:22.128082   0.000000         66        1           66            0     0.000000
   15:00:22.147431    15:00:22.231669   0.084238        356        2           82          274    11.871127
   15:00:22.152147    15:00:22.152147   0.000000         66        1           66            0     0.000000
   15:00:22.178504    15:00:22.223297   0.044793       1509       10          770          739   200.924255
   15:00:22.200523    15:00:25.218893   3.018370        222        3          222            0     0.662609
   15:00:22.260890    15:00:25.257733   2.996843        222        3          222            0     0.667369
   15:00:22.404532    15:00:22.465032   0.060500        151        2           91           60    16.528925
   15:00:22.419343    15:00:22.478814   0.059471        398        6          205          193    84.074593
   15:00:22.419494    15:00:22.419813   0.000319        295        2           87          208  3134.796143
   15:00:22.430527    15:00:22.752402   0.321875       9175       19          917         8258    55.922329
   15:00:22.469505    15:00:22.469505   0.000000         74        1           74            0     0.000000
   15:00:22.499386    15:00:22.499386   0.000000         74        1           74            0     0.000000
   15:00:22.509838    15:00:22.509838   0.000000         74        1           74            0     0.000000
   15:00:22.630679    15:00:22.811824   0.181145        238        2           98          140     5.520440
   15:00:22.633888    15:00:22.808611   0.174723        282        2           98          184     5.723345
   15:00:22.633952    15:00:22.634493   0.000541        398        2           95          303  1848.428833
   15:00:22.634011    15:00:22.638058   0.004047        247        2           95          152   247.096619
   15:00:22.677555    15:00:25.771735   3.094180      10670       33         2793         7877    10.341996
   15:00:22.740034    15:00:22.740034   0.000000         74        1           74            0     0.000000
   15:00:22.750655    15:00:22.750655   0.000000         74        1           74            0     0.000000
   15:00:22.755357    15:00:26.767426   4.012069       6460        5         6460            0     0.996992
   15:00:22.872774    15:00:25.775352   2.902578      14821       28         1630        13191     9.302075
   15:00:22.872771    15:00:25.775191   2.902420     122547      178         7162       115385    60.983593
   15:00:22.886050    15:00:22.886050   0.000000         74        1           74            0     0.000000
   15:00:22.900545    15:00:25.772025   2.871480      14884       28         1694        13190     9.402817
   15:00:22.931844    15:00:24.275339   1.343495    1243632     1293        35029      1208603   961.670837
   15:00:22.973570    15:00:25.224665   2.251095        180        2          180            0     0.444228
   15:00:23.118061    15:00:27.127536   4.009475       6460        5         6460            0     0.997637
   15:00:23.128468    15:00:23.128468   0.000000         74        1           74            0     0.000000
   15:00:23.150624    15:00:23.150624   0.000000         74        1           74            0     0.000000
   15:00:23.264850    15:00:26.414503   3.149653        222        3          222            0     0.634991
   15:00:23.361780    15:00:26.359870   2.998090        222        3          222            0     0.667091
   15:00:23.444565    15:00:23.770867   0.326302        342        4          171          171     9.193937
   15:00:23.485389    15:00:23.485389   0.000000         98        1           98            0     0.000000
   15:00:23.691523    15:00:26.677692   2.986169        222        3          222            0     0.669754
   15:00:23.753440    15:00:23.768803   0.015363        242        2           78          164    65.091454
   15:00:23.779240    15:00:25.775418   1.996178      87264      121         4944        82320    60.114880
   15:00:23.819501    15:00:23.989465   0.169964        238        2           98          140     5.883599
   15:00:23.819631    15:00:24.000627   0.180996        282        2           98          184     5.524984
   15:00:23.909820    15:00:23.913531   0.003711        215        2           73          142   269.469147
   15:00:23.934663    15:00:24.086097   0.151434        560        8          338          222    46.224758
   15:00:23.947322    15:00:26.946385   2.999063        222        3          222            0     0.666875
   15:00:24.041263    15:00:25.775367   1.734104      14789       28         1598        13191    15.570000
   15:00:24.041557    15:00:24.041557   0.000000         74        1           74            0     0.000000
   15:00:24.327237    15:00:24.327571   0.000334        190        2           87          103  2994.011963
   15:00:24.334546    15:00:24.387981   0.053435        147        2           91           56    18.714325
   15:00:24.334658    15:00:24.348794   0.014136        180        2           82           98    70.741371
   15:00:24.339765    15:00:25.276962   0.937197       7595       22         3530         4065    22.407242
   15:00:24.345556    15:00:24.346008   0.000452        295        2           87          208  2212.389404
   15:00:24.345548    15:00:24.388119   0.042571        390        6          197          193   117.450844
   15:00:24.353112    15:00:24.513596   0.160484       2261       12          916         1345    68.542656
   15:00:24.384155    15:00:25.755564   1.371409      11116       40         2659         8457    28.437904
   15:00:24.384341    15:00:24.816885   0.432544       9087       27         2324         6763    60.109493
   15:00:24.425185    15:00:24.429077   0.003892        386        2           81          305   256.937317
   15:00:24.470557    15:00:26.170064   1.699507      61653      111         6187        55466    64.724655
   15:00:24.628273    15:00:24.628273   0.000000         74        1           74            0     0.000000
   15:00:24.686828    15:00:24.686828   0.000000         74        1           74            0     0.000000
   15:00:24.698710    15:00:28.773545   4.074835     161833      184         7532       154301    44.909798
   15:00:24.711518    15:00:24.711518   0.000000         74        1           74            0     0.000000
   15:00:24.728829    15:00:24.728829   0.000000         74        1           74            0     0.000000
   15:00:24.777328    15:00:24.777328   0.000000         74        1           74            0     0.000000
   15:00:24.787504    15:00:24.787504   0.000000         74        1           74            0     0.000000
   15:00:24.820301    15:00:24.946734   0.126433        156        2           70           86     7.909328
   15:00:24.844222    15:00:24.847689   0.003467        176        2           80           96   288.433807
   15:00:24.869276    15:00:25.059933   0.190657        221        2           81          140     5.245021
   15:00:24.884055    15:00:26.167990   1.283935       6703       41         2873         3830    31.154226
   15:00:24.884226    15:00:25.517172   0.632946      12733       33         3299         9434    50.557236
   15:00:24.923664    15:00:25.095823   0.172159        190        2           87          103     5.808584
   15:00:24.940777    15:00:28.968486   4.027709       6460        5         6460            0     0.993120
