frame.number,frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"1598","1757509729.938416000","0.001500000","196.24.45.75","196.42.104.243"
"1599","1757509729.938480000","0.000064000","196.42.104.243","196.24.45.75"
"1603","1757509729.943104000","0.003315000","196.24.45.75","196.42.104.243"
"1604","1757509729.943150000","0.006978000","196.24.45.81","196.42.104.243"
"1606","1757509729.943215000","0.000065000","196.42.104.243","196.24.45.81"
"1607","1757509729.943262000","0.000111000","196.42.104.243","196.24.45.81"
"1610","1757509729.948928000","0.000134000","196.42.104.243","196.24.45.81"
"1611","1757509729.948986000","0.000191000","196.42.104.243","196.24.45.81"
"1613","1757509729.949139000","0.000031000","196.42.104.243","196.24.45.81"
"1615","1757509729.949213000","0.000019000","196.42.104.243","196.24.45.81"
"1618","1757509729.954687000","0.000096000","196.42.104.243","196.24.45.75"
"1619","1757509729.954718000","0.000059000","196.42.104.243","196.24.45.81"
"1622","1757509729.954970000","0.000039000","196.42.104.243","196.24.45.81"
"1625","1757509729.959956000","0.000058000","196.42.104.243","196.24.45.81"
"1628","1757509729.960111000","0.000024000","196.42.104.243","196.24.45.81"
"1630","1757509729.962032000","0.005308000","196.24.45.75","196.42.104.243"
"1632","1757509730.003912000","0.040417000","196.42.104.243","196.24.45.75"
"1713","1757509733.225790000","0.370221000","52.108.36.35","196.42.104.243"
"1715","1757509733.225941000","0.000151000","196.42.104.243","52.108.36.35"
"1717","1757509733.246001000","0.000406000","196.42.104.243","104.18.39.21"
"1718","1757509733.247987000","0.001986000","104.18.39.21","196.42.104.243"
"1756","1757509734.960957000","0.002598000","196.24.45.75","196.42.104.243"
"1757","1757509734.961499000","0.003088000","196.24.45.75","196.42.104.243"
"1768","1757509735.381217000","0.000094000","196.42.104.243","52.108.54.3"
"1769","1757509735.381255000","0.000131000","196.42.104.243","52.108.54.3"
"1771","1757509735.385397000","0.000039000","196.42.104.243","52.108.54.3"
"1807","1757509736.933320000","0.019419000","35.186.224.41","196.42.104.243"
"1811","1757509737.101013000","0.000103000","196.42.104.243","35.186.224.41"
"1823","1757509737.424214000","0.272655000","140.82.113.21","196.42.104.243"
"1825","1757509737.424310000","0.000086000","196.42.104.243","52.108.54.3"
"1826","1757509737.424341000","0.000127000","196.42.104.243","140.82.113.21"
"1832","1757509737.628875000","0.203750000","140.82.113.21","196.42.104.243"
"1834","1757509737.629004000","0.000129000","196.42.104.243","140.82.113.21"
"1835","1757509737.629051000","0.000175000","196.42.104.243","140.82.113.21"
"1839","1757509737.820754000","0.188664000","140.82.113.21","196.42.104.243"
"1842","1757509737.822664000","0.000256000","196.42.104.243","140.82.113.21"
"1860","1757509738.143518000","0.000492000","196.42.104.243","140.82.113.21"
"1881","1757509739.018534000","0.017985000","52.108.54.3","196.42.104.243"
"1899","1757509739.502996000","0.017729000","142.251.47.206","196.42.104.243"
"1900","1757509739.503053000","0.000057000","196.42.104.243","142.251.47.206"
"1903","1757509739.505678000","0.001480000","142.251.47.206","196.42.104.243"
"1904","1757509739.506145000","0.001218000","142.251.47.206","196.42.104.243"
"1927","1757509739.949464000","0.002108000","196.24.45.75","196.42.104.243"
"1928","1757509739.949501000","0.000037000","196.42.104.243","196.24.45.75"
"1930","1757509739.951299000","0.001205000","196.24.45.75","196.42.104.243"
"1932","1757509739.953226000","0.000021000","196.42.104.243","196.24.45.75"
"1934","1757509739.953879000","0.006896000","196.24.45.81","196.42.104.243"
"1935","1757509739.953908000","0.000029000","196.42.104.243","196.24.45.81"
"1937","1757509739.957807000","0.000021000","196.42.104.243","196.24.45.81"
