frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"1757710195.508294800","0.000022018","196.42.104.243","87.248.114.11"
"1757710195.508302814","0.000032058","196.42.104.243","87.248.114.11"
"1757710195.508308039","0.000035076","196.42.104.243","87.248.114.11"
"1757710195.511426237","0.000023740","196.42.104.243","87.248.114.11"
"1757710195.511438233","0.000031312","196.42.104.243","87.248.114.11"
"1757710195.511445620","0.000042879","196.42.104.243","87.248.114.11"
"1757710195.511451642","0.000044557","196.42.104.243","87.248.114.11"
"1757710195.511497759","0.000019987","196.42.104.243","87.248.114.11"
"1757710195.511510776","0.000032850","196.42.104.243","87.248.114.11"
"1757710195.659165871","0.150736483","87.248.114.11","196.42.104.243"
"1757710195.659881409","0.000715256","196.42.104.243","87.248.114.11"
"1757710195.661344303","0.150878020","87.248.114.11","196.42.104.243"
"1757710195.661418559","0.151270594","87.248.114.11","196.42.104.243"
"1757710195.662258849","0.000840092","196.42.104.243","87.248.114.11"
"1757710195.662629305","0.149969382","87.248.114.11","196.42.104.243"
"1757710195.662662862","0.150188372","87.248.114.11","196.42.104.243"
"1757710195.662911709","0.000248777","196.42.104.243","87.248.114.11"
"1757710195.665749776","0.150032200","87.248.114.11","196.42.104.243"
"1757710195.666616853","0.150631329","87.248.114.11","196.42.104.243"
"1757710195.666620274","0.150480547","87.248.114.11","196.42.104.243"
"1757710195.666640158","0.150795850","87.248.114.11","196.42.104.243"
"1757710195.667159708","0.149819578","87.248.114.11","196.42.104.243"
"1757710195.667163425","0.149790750","87.248.114.11","196.42.104.243"
"1757710195.667168372","0.149812741","87.248.114.11","196.42.104.243"
"1757710195.667263497","0.000103755","196.42.104.243","87.248.114.11"
"1757710195.667495224","0.000326719","196.42.104.243","87.248.114.11"
"1757710195.667660075","0.000496542","196.42.104.243","87.248.114.11"
"1757710195.683430302","0.000058559","196.42.104.243","87.248.114.11"
"1757710195.695613934","0.000835577","196.42.104.243","87.248.114.11"
"1757710195.833654767","0.149355598","87.248.114.11","196.42.104.243"
"1757710195.846551078","0.150896913","87.248.114.11","196.42.104.243"
"1757710195.902230389","0.042460157","196.42.104.243","87.248.114.11"
"1757710195.919921700","0.000042182","196.42.104.243","87.248.114.11"
"1757710196.104003957","0.178190960","87.248.114.12","196.42.104.243"
"1757710196.128150805","0.024146848","196.42.104.243","87.248.114.12"
"1757710196.220430940","0.149809861","87.248.114.12","196.42.104.243"
"1757710196.220482659","0.000051719","196.42.104.243","87.248.114.12"
"1757710196.222314981","0.151744692","87.248.114.12","196.42.104.243"
"1757710196.222406864","0.000091567","196.42.104.243","87.248.114.12"
"1757710196.223291128","0.000045190","196.42.104.243","87.248.114.12"
"1757710196.224060513","0.002560663","87.248.114.12","196.42.104.243"
"1757710196.277853248","0.149702443","87.248.114.12","196.42.104.243"
"1757710196.278400103","0.000546855","196.42.104.243","87.248.114.12"
"1757710196.280537705","0.149945443","87.248.114.12","196.42.104.243"
"1757710196.373501846","0.000134400","196.42.104.243","87.248.114.12"
"1757710196.376453787","0.000079753","196.42.104.243","87.248.114.12"
"1757710196.377581290","0.000059328","196.42.104.243","87.248.114.12"
"1757710196.431213743","0.000038259","196.42.104.243","87.248.114.12"
"1757710196.588855339","0.209059572","87.248.114.12","196.42.104.243"
"1757710196.588899461","0.000019602","196.42.104.243","87.248.114.12"
"1757710196.588985976","0.000106038","196.42.104.243","87.248.114.12"
"1757710196.590342141","0.001486646","196.42.104.243","87.248.114.12"
"1757710196.823748762","0.149773495","87.248.114.12","196.42.104.243"
"1757710196.823787095","0.000038333","196.42.104.243","87.248.114.12"
"1757710196.825347888","0.150528553","87.248.114.12","196.42.104.243"
"1757710196.825374074","0.000026186","196.42.104.243","87.248.114.12"
"1757710196.826989274","0.002681861","87.248.114.12","196.42.104.243"
"1757710196.828076526","0.002424395","87.248.114.12","196.42.104.243"
"1757710196.976121247","0.000037880","196.42.104.243","87.248.114.12"
"1757710196.976142642","0.000058907","196.42.104.243","87.248.114.12"
"1757710196.976754012","0.000014671","196.42.104.243","87.248.114.12"
"1757710196.977986425","0.000024505","196.42.104.243","87.248.114.12"
"1757710196.978524214","0.000034400","196.42.104.243","87.248.114.12"
"1757710196.978537596","0.000047584","196.42.104.243","87.248.114.12"
"1757710197.128361180","0.150600003","87.248.114.12","196.42.104.243"
"1757710197.128361479","0.149677411","87.248.114.12","196.42.104.243"
"1757710197.128925200","0.000563721","196.42.104.243","87.248.114.12"
"1757710197.131005223","0.150200544","87.248.114.12","196.42.104.243"
"1757710197.131005560","0.149910600","87.248.114.12","196.42.104.243"
"1757710197.131647266","0.000641679","196.42.104.243","87.248.114.12"
"1757710197.158125907","0.179323887","87.248.114.12","196.42.104.243"
"1757710197.207277760","0.049151853","196.42.104.243","87.248.114.12"
"1757710197.318377898","0.189452698","87.248.114.12","196.42.104.243"
"1757710197.732836058","0.177497858","87.248.114.12","196.42.104.243"
"1757710197.773269140","0.040433082","196.42.104.243","87.248.114.12"
"1757710198.132456788","0.175331885","87.248.114.12","196.42.104.243"
"1757710198.132514138","0.000057350","196.42.104.243","87.248.114.12"
"1757710198.347418192","0.149489506","87.248.114.12","196.42.104.243"
"1757710198.370178754","0.000031467","196.42.104.243","87.248.114.12"
"1757710198.418588687","0.149682276","87.248.114.12","196.42.104.243"
"1757710198.418627613","0.000038926","196.42.104.243","87.248.114.12"
"1757710198.421160964","0.001367468","87.248.114.12","196.42.104.243"
"1757710198.513245398","0.175112954","87.248.114.12","196.42.104.243"
"1757710198.513293450","0.000048052","196.42.104.243","87.248.114.12"
"1757710198.572035055","0.000029492","196.42.104.243","87.248.114.12"
"1757710198.572868059","0.000023363","196.42.104.243","87.248.114.12"
"1757710198.729084717","0.150486944","87.248.114.12","196.42.104.243"
"1757710198.729606569","0.000521619","196.42.104.243","87.248.114.12"
"1757710198.733548498","0.173603881","87.248.114.12","196.42.104.243"
"1757710198.733579027","0.000030529","196.42.104.243","87.248.114.12"
"1757710198.740836874","0.150281262","87.248.114.12","196.42.104.243"
"1757710198.781282014","0.040445140","196.42.104.243","87.248.114.12"
"1757710198.781337362","0.190757155","87.248.114.12","196.42.104.243"
"1757710198.788105790","0.000058212","196.42.104.243","87.248.114.12"
"1757710198.879071266","0.149424432","87.248.114.12","196.42.104.243"
"1757710200.593793863","0.150882241","87.248.114.12","196.42.104.243"
"1757710200.593819690","0.000025827","196.42.104.243","87.248.114.12"
"1757710200.597574443","0.001114077","87.248.114.12","196.42.104.243"
"1757710200.616840581","0.174016363","87.248.114.12","196.42.104.243"
"1757710200.616884941","0.000044360","196.42.104.243","87.248.114.12"
"1757710200.749336893","0.000042424","196.42.104.243","87.248.114.12"
"1757710200.750063604","0.000036837","196.42.104.243","87.248.114.12"
