StartTime,LastTime,SrcAddr,DstAddr,Sport,Dport,Proto,TcpRtt
22:50:18.001942,22:50:18.604871,196.42.104.243,87.248.114.12,34320,443,tcp,0.149788
22:50:18.002779,22:50:18.456807,196.42.104.243,87.248.114.12,34332,443,tcp,0.150022
22:50:18.506494,22:50:19.111602,196.42.104.243,87.248.114.12,34342,443,tcp,0.149786
22:50:18.506552,22:50:19.114156,196.42.104.243,87.248.114.12,34358,443,tcp,0.149896
22:50:19.262030,22:50:19.782317,196.42.104.243,87.248.114.12,34368,443,tcp,0.150374
22:50:19.262723,22:50:19.782325,196.42.104.243,87.248.114.12,34384,443,tcp,0.150393
22:50:19.263125,22:50:19.782398,196.42.104.243,87.248.114.12,34398,443,tcp,0.150193
22:50:20.018171,22:50:20.685140,196.42.104.243,87.248.114.12,34410,443,tcp,0.150085
22:50:20.771233,22:50:25.664139,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:50:21.457005,22:50:22.065243,196.42.104.243,87.248.114.12,34424,443,tcp,0.149727
22:50:21.457634,22:50:22.073775,196.42.104.243,87.248.114.12,34436,443,tcp,0.150267
22:50:21.524560,22:50:22.458801,196.42.104.243,87.248.114.11,43390,443,tcp,0.149965
22:50:23.647859,22:50:23.846603,196.42.104.243,87.248.114.12,56436,443,tcp,0.149721
22:50:23.793507,22:50:24.458935,196.42.104.243,87.248.114.12,34440,443,tcp,0.174981
22:50:23.793917,22:50:24.458903,196.42.104.243,87.248.114.12,34452,443,tcp,0.174561
22:50:25.511608,22:50:25.972467,196.42.104.243,87.248.114.12,57414,443,tcp,0.150784
22:50:27.002992,22:50:31.972882,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:50:31.991660,22:50:32.598074,196.42.104.243,87.248.114.12,57426,443,tcp,0.149545
22:50:31.991735,22:50:32.450601,196.42.104.243,87.248.114.12,57440,443,tcp,0.149979
22:50:31.992049,22:50:36.810521,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:50:32.148673,22:50:37.049807,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:50:33.017236,22:50:33.747610,196.42.104.243,87.248.114.12,56436,443,tcp,0.149721
22:50:36.506068,22:50:37.128089,196.42.104.243,87.248.114.11,45196,443,tcp,0.149878
22:50:37.003565,22:50:41.696632,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:50:37.183253,22:50:39.703899,196.42.104.243,87.248.114.12,56422,443,tcp,0.149812
22:50:38.598502,22:50:39.058655,196.42.104.243,87.248.114.12,34432,443,tcp,0.150263
22:50:38.598764,22:50:39.063184,196.42.104.243,87.248.114.12,34448,443,tcp,0.150855
22:50:38.637340,22:50:39.247348,196.42.104.243,87.248.114.12,34460,443,tcp,0.149903
22:50:38.637439,22:50:39.097765,196.42.104.243,87.248.114.12,34476,443,tcp,0.150608
22:50:38.705328,22:50:41.914058,196.42.104.243,87.248.114.11,43390,443,tcp,0.149965
22:50:40.384967,22:50:41.014768,196.42.104.243,87.248.114.12,34486,443,tcp,0.150027
22:50:40.385605,22:50:41.014366,196.42.104.243,87.248.114.12,34494,443,tcp,0.149608
22:50:40.385702,22:50:40.865040,196.42.104.243,87.248.114.12,34498,443,tcp,0.150323
22:50:40.386737,22:50:40.907144,196.42.104.243,87.248.114.12,34502,443,tcp,0.151932
22:50:40.386787,22:50:40.867430,196.42.104.243,87.248.114.12,34516,443,tcp,0.151097
22:50:40.387060,22:50:41.015069,196.42.104.243,87.248.114.12,34528,443,tcp,0.150833
22:50:40.506685,22:50:41.172579,196.42.104.243,87.248.114.11,45212,443,tcp,0.165482
22:50:40.507081,22:50:41.011728,196.42.104.243,87.248.114.11,45216,443,tcp,0.165104
22:50:41.950019,22:50:42.554812,196.42.104.243,87.248.114.12,34540,443,tcp,0.149854
22:50:41.953250,22:50:44.853912,196.42.104.243,87.248.114.12,37630,443,tcp,0.155213
22:50:42.069795,22:50:47.043404,196.42.104.243,87.248.114.12,49358,443,tcp,0.165533
22:50:42.141463,22:50:42.812872,196.42.104.243,87.248.114.12,34556,443,tcp,0.15036
