1713016806.117657000	41.169.98.17	10.30.222.137	1229202	1
1713016806.121327000	41.169.98.17	10.30.222.137	1276122	1
1713016806.121654000	71.18.46.243	10.30.222.137	185520	1
1713016806.121794000	41.169.98.17	10.30.222.137	1280262	1
1713016806.123424000	71.18.46.243	10.30.222.137	273960	1
1713016806.132107000	10.30.228.173	102.132.115.163	1	1
1713016806.133939000	71.18.46.243	10.30.222.137	223040	1
1713016806.134123000	71.18.46.243	10.30.222.137	224380	1
1713016806.207063000	41.169.98.17	10.30.222.137	1295632	1
1713016806.207254000	41.169.98.17	10.30.222.137	1297012	1
1713016806.228948000	71.18.46.243	10.30.222.137	318180	1
1713016806.229089000	71.18.46.243	10.30.222.137	319520	1
1713016806.237635000	41.169.98.17	10.30.222.137	1320472	1
1713016806.237893000	41.169.98.17	10.30.222.137	1321852	1
1713016806.241563000	41.169.98.17	10.30.222.137	1324612	1
1713016806.247494000	41.169.98.17	10.30.222.137	1327372	1
1713016806.252262000	41.169.98.17	10.30.222.137	1330132	1
1713016806.252464000	41.169.98.17	10.30.222.137	1331512	1
1713016806.256410000	41.169.98.17	10.30.222.137	1337032	1
1713016806.260007000	71.18.46.243	10.30.222.137	327560	1
1713016806.261730000	71.18.46.243	10.30.222.137	328900	1
1713016806.261851000	71.18.46.243	10.30.222.137	330240	1
1713016806.272956000	41.169.98.17	10.30.222.137	1338412	1
1713016806.273959000	41.169.98.17	10.30.222.137	1341172	1
1713016806.274733000	71.18.46.243	10.30.222.137	335600	1
1713016806.279745000	41.169.98.17	10.30.222.137	1343932	1
1713016806.280068000	41.169.98.17	10.30.222.137	1352212	1
1713016806.287725000	10.30.222.137	23.237.60.122	1	1
1713016806.293251000	71.18.46.243	10.30.222.137	338280	1
1713016806.319519000	41.169.98.17	10.30.222.137	1319092	1
1713016806.325293000	41.169.98.17	10.30.222.137	1332892	1
1713016806.392479000	41.169.98.17	10.30.222.137	1385332	1
1713016806.394496000	41.169.98.17	10.30.222.137	1388092	1
1713016806.396447000	41.169.98.17	10.30.222.137	1389472	1
1713016806.396552000	41.169.98.17	10.30.222.137	1390852	1
1713016806.404301000	71.18.46.243	10.30.222.137	358380	1
1713016806.405995000	71.18.46.243	10.30.222.137	359720	1
1713016806.409525000	71.18.46.243	10.30.222.137	361060	1
1713016806.412238000	41.169.98.17	10.30.222.137	1397752	1
1713016806.418232000	41.169.98.17	10.30.222.137	1406032	1
1713016806.420205000	41.169.98.17	10.30.222.137	1414312	1
1713016806.429045000	71.18.46.243	10.30.222.137	362400	1
1713016806.438263000	41.169.98.17	10.30.222.137	1419832	1
1713016806.440221000	41.169.98.17	10.30.222.137	1422592	1
1713016806.442228000	41.169.98.17	10.30.222.137	1425352	1
1713016806.445690000	10.30.222.137	23.237.60.122	1	1
1713016806.510102000	10.30.222.137	23.237.60.122	1	1
1713016806.549831000	41.169.98.17	10.30.222.137	1486072	1
1713016806.590257000	41.169.98.17	10.30.222.137	1513672	1
1713016806.591309000	41.169.98.17	10.30.222.137	1516432	1
